Nº Pacote;Tempo desde a última chegada do pacote anterior;Tempo de chegada no relógio;Tempo de serviço;Tempo de início do roteamento;Tempo do pacote na fila do roteador;Tempo final do roteamento no relógio;Tempo do pacote no roteador;Tempo livre do servidor;
1;10;10;12,5;10;0;22,5;12,5;10;
2;14;24;2,5;24;0;26,5;2,5;2;
3;14;38;17,5;38;0;55,5;17,5;12;
4;10;48;7,5;55;7;62,5;14,5;0;
5;14;62;2,5;62;0;64,5;2,5;0;
6;10;72;2,5;72;0;74,5;2,5;8;
7;10;82;12,5;82;0;94,5;12,5;8;
8;12;94;27,5;94;0;121,5;27,5;0;
9;12;106;7,5;121;15;128,5;22,5;0;
10;10;116;12,5;128;12;140,5;24,5;0;
11;10;126;2,5;140;14;142,5;16,5;0;
12;10;136;2,5;142;6;144,5;8,5;0;
13;10;146;12,5;146;0;158,5;12,5;2;
14;12;158;2,5;158;0;160,5;2,5;0;
15;14;172;2,5;172;0;174,5;2,5;12;
16;12;184;2,5;184;0;186,5;2,5;10;
17;10;194;12,5;194;0;206,5;12,5;8;
18;12;206;7,5;206;0;213,5;7,5;0;
19;10;216;2,5;216;0;218,5;2,5;3;
20;14;230;2,5;230;0;232,5;2,5;12;
