Nº Pacote;Tempo desde a última chegada do pacote anterior;Tempo de chegada no relógio;Tempo de serviço;Tempo de início do roteamento;Tempo do pacote na fila do roteador;Tempo final do roteamento no relógio;Tempo do pacote no roteador;Tempo livre do servidor;
1;12,5;12,5;2,5;12,5;0;15;2,5;12,5;
2;2,5;14,5;17,5;15;0,5;32,5;18;0;
3;7,5;21,5;27,5;32;10,5;59,5;38;0;
4;27,5;48,5;27,5;59;10,5;86,5;38;0;
5;2,5;50,5;2,5;86;35,5;88,5;38;0;
6;17,5;67,5;17,5;88;20,5;105,5;38;0;
7;2,5;69,5;12,5;105;35,5;117,5;48;0;
8;12,5;81,5;22,5;117;35,5;139,5;58;0;
9;7,5;88,5;12,5;139;50,5;151,5;63;0;
10;2,5;90,5;22,5;151;60,5;173,5;83;0;
11;37,5;127,5;7,5;173;45,5;180,5;53;0;
12;2,5;129,5;22,5;180;50,5;202,5;73;0;
13;2,5;131,5;12,5;202;70,5;214,5;83;0;
14;12,5;143,5;12,5;214;70,5;226,5;83;0;
15;2,5;145,5;37,5;226;80,5;263,5;118;0;
16;17,5;162,5;27,5;263;100,5;290,5;128;0;
17;7,5;169,5;42,5;290;120,5;332,5;163;0;
18;17,5;186,5;32,5;332;145,5;364,5;178;0;
19;2,5;188,5;17,5;364;175,5;381,5;193;0;
20;2,5;190,5;17,5;381;190,5;398,5;208;0;
